year,value,indicador_nombre,country,codigo_indicador,fuente,area,tipo,grupo_edad,country_name,unit,indicator_id,pais_nombre
1990,1.08,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1990,1.1,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1992,8.7,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1992,8.74,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1997,15.54,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1997,15.5,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1999,21.9,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
1999,21.88,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2000,24.25,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2000,24.2,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2001,19.0,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2001,19.03,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2002,19.69,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2002,19.7,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
2004,10.2,Pobreza Extrema ($2.15/día),BOL,WB_PIP_HEADCOUNT_IPL,Banco Mundial,,,,,,,
