year,value,indicator_id,country,unit,indicador_nombre,country_name,codigo_indicador
1990,1.08,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1990,1.1,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1992,8.7,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1992,8.74,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1997,15.54,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1997,15.5,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1999,21.9,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1999,21.88,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2000,24.25,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2000,24.2,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2001,19.0,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2001,19.03,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2002,19.69,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2002,19.7,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2004,10.2,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2004,10.22,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2005,15.61,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2005,15.6,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
